iter	Passed	Remaining
901	2374	257
902	2376	255
903	2379	252
904	2382	250
905	2385	247
906	2389	245
907	2392	242
908	2395	239
909	2398	237
910	2401	234
911	2404	231
912	2406	229
913	2409	226
914	2411	224
915	2413	221
916	2415	218
917	2418	216
918	2421	213
919	2423	210
920	2425	208
921	2427	205
922	2430	202
923	2432	200
924	2435	197
925	2437	194
926	2439	192
927	2442	189
928	2444	186
929	2446	184
930	2449	181
931	2451	178
932	2454	176
933	2456	173
934	2458	170
935	2461	168
936	2463	165
937	2466	163
938	2468	160
939	2471	157
940	2473	155
941	2475	152
942	2478	149
943	2480	147
944	2483	144
945	2485	141
946	2487	139
947	2490	136
948	2492	133
949	2494	131
950	2496	128
951	2499	126
952	2501	123
953	2504	120
954	2506	118
955	2509	115
956	2511	112
957	2513	110
958	2515	107
959	2518	104
960	2521	102
961	2523	99
962	2525	97
963	2528	94
964	2530	91
965	2532	89
966	2535	86
967	2539	83
968	2542	81
969	2545	78
970	2547	76
971	2550	73
972	2554	70
973	2556	68
974	2558	65
975	2561	62
976	2563	60
977	2566	57
978	2568	55
979	2570	52
980	2573	49
981	2575	47
982	2578	44
983	2581	41
984	2583	39
985	2585	36
986	2588	34
987	2590	31
988	2593	28
989	2595	26
990	2598	23
991	2601	20
992	2603	18
993	2606	15
994	2608	13
995	2611	10
996	2614	7
997	2616	5
998	2618	2
999	2621	0
